Country,Retail_recreation,Grocery_pharmacy,Parks,Transit_stations,Workplaces,Residential,LAT,LON,GeoPoint
Dominican Republic,80.0,63.0,73.0,84.0,56.0,-23.0,18.897331237793,-70.4999389648438,POINT(-70.4999389648438 18.897331237793)
Angola,61.0,40.0,39.0,57.0,11.0,-22.0,-12.3329238891602,17.5728378295898,POINT(17.5728378295898 -12.3329238891602)
Bulgaria,66.0,36.0,32.0,58.0,29.0,-11.0,42.7570877075195,25.2387027740479,POINT(25.2387027740479 42.7570877075195)
Barbados,70.0,47.0,60.0,77.0,52.0,-15.0,13.1722221374512,-59.5564231872559,POINT(-59.5564231872559 13.1722221374512)
Honduras,81.0,64.0,59.0,74.0,46.0,-20.0,14.8238182067871,-86.597541809082,POINT(-86.597541809082 14.8238182067871)
Malaysia,81.0,58.0,68.0,83.0,52.0,-31.0,3.60546803474426,114.710723876953,POINT(114.710723876953 3.60546803474426)
Bosnia and Herzegovina,76.0,50.0,22.0,59.0,50.0,-13.0,44.1682548522949,17.785249710083,POINT(17.785249710083 44.1682548522949)
Mongolia,16.0,-5.0,-5.0,16.0,2.0,-2.0,46.8346900939941,103.06763458252,POINT(103.06763458252 46.8346900939941)
Uruguay,75.0,45.0,79.0,71.0,35.0,-22.0,-32.9697380065918,-56.0560646057129,POINT(-56.0560646057129 -32.9697380065918)
Trinidad and Tobago,29.0,-10.0,40.0,70.0,17.0,-9.0,10.4237451553345,-61.2965316772461,POINT(-61.2965316772461 10.4237451553345)
Paraguay,68.0,52.0,71.0,76.0,30.0,-23.0,-23.2419586181641,-58.392765045166,POINT(-58.392765045166 -23.2419586181641)
Mexico,45.0,19.0,46.0,47.0,20.0,-11.0,23.9406204223633,-102.52513885498,POINT(-102.52513885498 23.9406204223633)
Portugal,83.0,59.0,80.0,78.0,53.0,-22.0,39.6799087524414,-7.96866512298584,POINT(-7.96866512298584 39.6799087524414)
Ecuador,84.0,66.0,80.0,80.0,61.0,-26.0,-1.46556997299194,-78.3972091674805,POINT(-78.3972091674805 -1.46556997299194)
Estonia,60.0,28.0,-4.0,51.0,32.0,-10.0,58.6836700439453,25.8387012481689,POINT(25.8387012481689 58.6836700439453)
Venezuela,62.0,44.0,57.0,62.0,25.0,-16.0,7.15698480606079,-66.2232437133789,POINT(-66.2232437133789 7.15698480606079)
Luxembourg,90.0,70.0,66.0,78.0,60.0,-23.0,49.7768249511719,6.09234094619751,POINT(6.09234094619751 49.7768249511719)
Mozambique,26.0,13.0,22.0,29.0,-1.0,-10.0,-17.2731990814209,35.5474853515625,POINT(35.5474853515625 -17.2731990814209)
United States,47.0,22.0,19.0,51.0,38.0,-12.0,39.4959144592285,-98.9899826049805,POINT(-98.9899826049805 39.4959144592285)
Senegal,44.0,31.0,28.0,50.0,10.0,-12.0,14.3596143722534,-14.4684591293335,POINT(-14.4684591293335 14.3596143722534)
Kenya,45.0,33.0,20.0,39.0,22.0,-17.0,0.537028014659882,37.8567771911621,POINT(37.8567771911621 0.537028014659882)
Australia,45.0,19.0,35.0,58.0,33.0,-13.0,-25.5789375305176,134.359710693359,POINT(134.359710693359 -25.5789375305176)
Moldova,67.0,44.0,43.0,68.0,37.0,-12.0,47.2021446228027,28.4654483795166,POINT(28.4654483795166 47.2021446228027)
Iraq,64.0,42.0,48.0,61.0,55.0,-21.0,33.0444297790527,43.7751846313477,POINT(43.7751846313477 33.0444297790527)
Chile,73.0,55.0,72.0,64.0,42.0,-24.0,-35.232006072998,-71.2188262939453,POINT(-71.2188262939453 -35.232006072998)
Germany,77.0,51.0,49.0,68.0,39.0,-11.0,51.1218070983887,10.4006948471069,POINT(10.4006948471069 51.1218070983887)
Tajikistan,8.0,8.0,-4.0,17.0,-10.0,3.0,38.5251312255859,71.0388107299805,POINT(71.0388107299805 38.5251312255859)
United Kingdom,85.0,46.0,52.0,75.0,55.0,-15.0,53.9438362121582,-2.55056405067444,POINT(-2.55056405067444 53.9438362121582)
Namibia,56.0,42.0,39.0,74.0,28.0,-16.0,-22.1394424438477,17.2217979431152,POINT(17.2217979431152 -22.1394424438477)
Gabon,39.0,24.0,25.0,47.0,15.0,-15.0,-0.623825013637543,11.781533241272,POINT(11.781533241272 -0.623825013637543)
