"","country","retailrecration","grocerypharmacy","parks","transitstations","workplaces","residential"
"97","Portugal","-83%","-59%","-80%","-78%","-53%","+22%"
"98","Puerto","-77%","-51%","-75%","-79%","-48%","+21%"
"99","Qatar","-51%","-25%","-34%","-52%","-31%","+22%"
"100","Romania","-81%","-53%","-60%","-72%","-39%","+15%"
"101","Rwanda","-56%","-57%","-18%","-75%","-31%","+22%"
"102","Réunion","-96%","-88%","-92%","-82%","",""
"103","Saudi","-54%","-24%","-49%","-75%","-45%","+23%"
"104","Senegal","-44%","-31%","-28%","-50%","-10%","+12%"
"105","Singapore","-28%","-6%","-12%","-40%","-15%","+15%"
"106","Slovakia","-82%","-89%","-9%","-61%","-38%","+10%"
"107","Slovenia","-88%","-92%","-43%","-54%","-45%","+13%"
"108","South","-79%","-60%","-55%","-80%","-49%","+24%"
"109","South","-19%","+11%","+51%","-17%","-12%","+6%"
"110","Spain","-94%","-76%","-89%","-88%","-64%","+22%"
"111","Sri","-86%","-87%","-57%","-78%","-50%","+32%"
"112","Sweden","-24%","-10%","+43%","-36%","-18%","+5%"
"113","Switzerland","-81%","-51%","-41%","-68%","-46%","+15%"
"114","Taiwan","-9%","+3%","+17%","-24%","-1%","+4%"
"115","Tajikistan","-8%","-8%","+4%","-17%","+10%","-3%"
"116","Tanzania","-16%","-8%","-7%","-11%","-9%","+3%"
"117","Thailand","-55%","-27%","-54%","-61%","-21%","+16%"
"118","The","-67%","-34%","-48%","-87%","-52%","+19%"
"119","Togo","-37%","-25%","-21%","-41%","-9%","+16%"
"120","Trinidad","-29%","+10%","-40%","-70%","-17%","+9%"
"121","Turkey","-75%","-39%","-58%","-71%","-45%","+17%"
"122","Uganda","-50%","-36%","-16%","-59%","-23%","+19%"
"123","United","-55%","-26%","-53%","-69%","-45%","+26%"
"124","United","-85%","-46%","-52%","-75%","-55%","+15%"
"125","United","-47%","-22%","-19%","-51%","-38%","+12%"
"126","Alabama","-41%","-13%","+19%","-30%","-32%","+9%"
"127","Alaska","-48%","-27%","+18%","-55%","-33%","+10%"
"128","Arizona","-40%","-17%","-7%","-41%","-33%","+10%"
"129","Arkansas","-29%","-7%","+81%","-22%","-27%","+7%"
"130","California","-50%","-24%","-38%","-54%","-39%","+15%"
"131","Colorado","-51%","-27%","-12%","-60%","-40%","+13%"
"132","Connecticut","-56%","-32%","-52%","-64%","-38%","+15%"
"133","Delaware","-47%","-28%","-6%","-57%","-37%","+12%"
"134","District","-64%","-30%","-41%","-68%","-47%","+14%"
"135","Florida","-50%","-26%","-48%","-63%","-41%","+13%"
"136","Georgia","-42%","-17%","-2%","-52%","-37%","+11%"
"137","Hawaii","-56%","-36%","-65%","-72%","-45%","+16%"
"138","Idaho","-42%","-18%","+25%","-34%","-38%","+10%"
